subject,relation,object
mining,relate,Science
analysis,understand,particles
learning,occur,Economics
analysis,understand,trade
environment,use,Chemistry
Economics,describe,communication
thermodynamics,understand,entropy
biology,provide,Science
reactions,use,Science
reactions,use,Sociology
equilibrium,provide,Mathematics
concept,grammar,Linguistics
making,occur,Science
thermodynamics,relate,Sociology
calculus,understand,Science
motion,occur,Mathematics
pollution,use,Linguistics
modeling,understand,optimization
mutation,provide,Psychology
modeling,provide,Science
biology,understand,environment
networks,provide,Mathematics
acquisition,understand,Sociology
researchers,explore,computation
growth,understand,cells
growth,provide,Science
networks,understand,Psychology
reactions,use,Psychology
analysis,provide,Psychology
communication,occur,Chemistry
researchers,explore,markets
networks,understand,Economics
growth,relate,Mathematics
researchers,explore,learning
entropy,occur,Mathematics
cells,occur,Linguistics
patterns,use,Linguistics
reactions,occur,Chemistry
bonding,understand,Economics
bonding,provide,Linguistics
sequences,occur,Science
Science,describe,pollution
structure,provide,Linguistics
calculus,understand,optimization
patterns,occur,Chemistry
society,occur,Biology
learning,occur,Physics
researchers,explore,pollution
acquisition,understand,optimization
grammar,occur,Science
communication,use,Biology
Physics,describe,motion
thermodynamics,provide,Science
behavior,relate,Mathematics
calculus,relate,Mathematics
conservation,influence,particles
structure,influence,grammar
calculus,understand,Psychology
sequences,use,Science
society,occur,Psychology
analysis,influence,reactions
Mathematics,describe,patterns
bonding,understand,pollution
making,occur,Mathematics
calculus,relate,Sociology
researchers,explore,patterns
acquisition,relate,Mathematics
equilibrium,provide,Science
understanding,learn,Science
researchers,explore,pollution
analysis,relate,Chemistry
Economics,describe,computation
mutation,understand,cells
conservation,understand,cells
evolution,use,Chemistry
cells,use,Physics
balance,understand,patterns
communication,use,Sociology
structure,provide,Sociology
computation,occur,Science
balance,understand,Economics
researchers,explore,society
researchers,explore,markets
entropy,occur,Linguistics
thermodynamics,relate,Economics
making,occur,Chemistry
biology,understand,Science
Chemistry,describe,making
mutation,influence,computation
trade,use,Science
behavior,provide,Psychology
computation,occur,Biology
patterns,use,Physics
bonding,relate,Economics
grammar,use,Biology
researchers,explore,patterns
concept,grammar,Science
acquisition,understand,Psychology
networks,provide,Chemistry
Biology,describe,optimization
biology,influence,patterns
thermodynamics,influence,trade
networks,understand,Biology
Mathematics,describe,optimization
calculus,provide,Mathematics
intelligence,relate,Linguistics
analysis,relate,Physics
Science,describe,entropy
Science,describe,communication
calculus,provide,Psychology
concept,grammar,Linguistics
researchers,explore,society
mining,provide,Economics
biology,influence,motion
researchers,explore,trade
analysis,relate,Physics
growth,relate,Sociology
structure,relate,Science
mutation,understand,Chemistry
calculus,relate,Psychology
growth,relate,Chemistry
inference,understand,Physics
networks,influence,pollution
biology,understand,Economics
patterns,occur,Chemistry
Science,describe,environment
analysis,provide,Economics
concept,grammar,Sociology
growth,influence,reactions
conservation,understand,markets
researchers,explore,grammar
Biology,describe,entropy
inference,understand,Chemistry
growth,influence,computation
Linguistics,describe,cells
calculus,understand,Sociology
bonding,understand,Science
entropy,occur,Physics
researchers,explore,particles
acquisition,understand,Science
Science,describe,motion
bonding,provide,Science
analysis,understand,computation
behavior,influence,making
bonding,understand,Physics
analysis,understand,Science
environment,occur,Economics
Linguistics,describe,reactions
particles,use,Sociology
learning,use,Psychology
behavior,understand,reactions
researchers,explore,society
acquisition,understand,cells
structure,understand,Science
mining,provide,Sociology
analysis,understand,Mathematics
Sociology,describe,pollution
trade,occur,Science
calculus,provide,Mathematics
Mathematics,describe,reactions
Sociology,describe,reactions
concept,grammar,Sociology
modeling,provide,Chemistry
pollution,use,Physics
conservation,influence,reactions
patterns,occur,Biology
analysis,influence,patterns
biology,understand,motion
thermodynamics,influence,making
intelligence,relate,Science
balance,understand,environment
Biology,describe,reactions
grammar,occur,Mathematics
evolution,use,Mathematics
biology,relate,Mathematics
acquisition,relate,Psychology
behavior,relate,Biology
behavior,influence,particles
grammar,use,Sociology
calculus,understand,Psychology
concept,grammar,Biology
learning,occur,Physics
equilibrium,provide,Mathematics
structure,understand,evolution
mutation,relate,Chemistry
optimization,occur,Science
balance,understand,pollution
mechanics,relate,Chemistry
equilibrium,influence,pollution
balance,understand,Linguistics
behavior,influence,markets
acquisition,relate,Economics
pollution,occur,Science
learning,occur,Science
acquisition,relate,Psychology
Chemistry,describe,markets
networks,understand,environment
thermodynamics,influence,patterns
communication,occur,Linguistics
calculus,provide,Science
entropy,use,Sociology
researchers,explore,communication
conservation,understand,Science
equilibrium,influence,society
intelligence,understand,cells
mechanics,understand,particles
biology,provide,Chemistry
behavior,understand,Science
bonding,relate,Mathematics
concept,trade,Science
optimization,use,Psychology
growth,understand,reactions
bonding,relate,Science
Physics,describe,optimization
inference,understand,Linguistics
researchers,explore,grammar
Science,describe,grammar
inference,provide,Physics
bonding,provide,Mathematics
growth,provide,Economics
structure,understand,Biology
environment,use,Physics
structure,relate,Science
bonding,understand,Science
calculus,understand,entropy
networks,relate,Linguistics
markets,occur,Science
Psychology,describe,environment
networks,influence,reactions
growth,provide,Linguistics
researchers,explore,grammar
Mathematics,describe,entropy
researchers,explore,learning
concept,environment,Economics
environment,occur,Biology
entropy,use,Sociology
Science,describe,communication
Linguistics,describe,evolution
researchers,explore,entropy
modeling,relate,Physics
structure,relate,Science
mutation,relate,Science
trade,occur,Science
intelligence,provide,Economics
intelligence,relate,Psychology
researchers,explore,trade
acquisition,influence,cells
researchers,explore,motion
markets,occur,Science
behavior,relate,Science
acquisition,understand,optimization
society,occur,Biology
mining,provide,Science
Biology,describe,markets
evolution,occur,Science
selection,provide,Science
inference,relate,Physics
Psychology,describe,grammar
Science,describe,trade
mechanics,understand,Physics
evolution,occur,Linguistics
concept,grammar,Physics
intelligence,understand,Mathematics
Chemistry,describe,markets
biology,understand,Psychology
Science,describe,making
thermodynamics,understand,cells
researchers,explore,trade
balance,relate,Mathematics
mining,provide,Physics
markets,occur,Science
researchers,explore,patterns
behavior,understand,particles
computation,use,Sociology
Sociology,describe,optimization
growth,influence,communication
Science,describe,patterns
researchers,explore,learning
trade,occur,Sociology
reactions,use,Chemistry
Psychology,describe,making
growth,relate,Psychology
equilibrium,understand,Psychology
optimization,use,Psychology
intelligence,relate,Biology
inference,relate,Chemistry
markets,occur,Mathematics
society,occur,Psychology
sequences,use,Sociology
researchers,explore,environment
selection,relate,Physics
Sociology,describe,evolution
equilibrium,provide,Mathematics
making,occur,Science
balance,relate,Sociology
Biology,describe,cells
researchers,explore,communication
conservation,understand,pollution
sequences,occur,Science
networks,learn,learning
equilibrium,understand,Biology
thermodynamics,relate,Physics
analysis,relate,Biology
modeling,provide,Biology
growth,provide,Psychology
Science,describe,patterns
networks,relate,Economics
markets,use,Mathematics
Physics,describe,sequences
researchers,explore,pollution
Sociology,describe,pollution
analysis,relate,Economics
communication,occur,Science
growth,understand,communication
environment,use,Chemistry
researchers,explore,learning
mining,provide,Sociology
researchers,explore,grammar
environment,occur,Mathematics
biology,learn,learning
Biology,describe,pollution
environment,use,Linguistics
acquisition,understand,making
researchers,explore,learning
growth,relate,Chemistry
Science,describe,markets
mechanics,understand,optimization
grammar,use,Chemistry
mechanics,relate,Biology
behavior,understand,patterns
researchers,explore,particles
conservation,understand,Economics
motion,occur,Mathematics
Biology,describe,particles
researchers,explore,motion
Economics,describe,making
Psychology,describe,entropy
behavior,relate,Sociology
growth,relate,Psychology
patterns,use,Linguistics
balance,understand,Mathematics
structure,understand,motion
calculus,understand,markets
mutation,relate,Science
growth,influence,reactions
concept,entropy,Psychology
Linguistics,describe,sequences
entropy,occur,Psychology
bonding,influence,making
researchers,explore,pollution
bonding,understand,reactions
researchers,explore,entropy
equilibrium,provide,Chemistry
inference,understand,Science
researchers,explore,computation
mechanics,understand,trade
Mathematics,describe,patterns
computation,use,Economics
concept,grammar,Physics
Science,describe,communication
modeling,provide,Science
analysis,influence,trade
patterns,use,Psychology
researchers,explore,entropy
motion,use,Economics
Psychology,describe,patterns
inference,relate,Mathematics
understanding,learn,Biology
mutation,provide,Economics
intelligence,understand,Science
patterns,occur,Science
concept,grammar,Economics
researchers,explore,motion
bonding,understand,environment
researchers,explore,sequences
researchers,explore,markets
inference,understand,Science
sequences,use,Sociology
reactions,use,Psychology
researchers,explore,markets
acquisition,understand,computation
understanding,learn,Linguistics
researchers,explore,motion
structure,relate,Biology
sequences,occur,Science
cells,occur,Biology
mechanics,understand,Biology
trade,occur,Mathematics
conservation,relate,Science
researchers,explore,making
inference,understand,Chemistry
society,use,Sociology
networks,understand,communication
equilibrium,understand,Science
equilibrium,relate,Chemistry
optimization,use,Mathematics
learning,occur,Mathematics
researchers,explore,reactions
patterns,use,Chemistry
modeling,relate,Biology
equilibrium,influence,motion
grammar,use,Physics
researchers,explore,communication
thermodynamics,understand,Economics
mechanics,understand,motion
thermodynamics,influence,sequences
markets,use,Psychology
analysis,relate,Sociology
mechanics,relate,Mathematics
researchers,explore,learning
equilibrium,understand,grammar
calculus,understand,reactions
mutation,provide,Mathematics
researchers,explore,pollution
modeling,understand,computation
trade,occur,Sociology
biology,relate,Biology
conservation,relate,Economics
motion,use,Linguistics
modeling,understand,computation
biology,understand,making
balance,understand,grammar
behavior,provide,Physics
networks,influence,computation
Science,describe,society
researchers,explore,making
equilibrium,understand,Physics
behavior,relate,Physics
understanding,learn,Mathematics
mutation,understand,Psychology
inference,understand,Sociology
researchers,explore,environment
bonding,understand,Biology
researchers,explore,grammar
Physics,describe,trade
mutation,influence,entropy
acquisition,provide,Chemistry
equilibrium,influence,sequences
equilibrium,understand,Science
communication,occur,Sociology
equilibrium,understand,grammar
cells,use,Physics
bonding,provide,Science
computation,use,Linguistics
growth,understand,patterns
behavior,provide,Sociology
communication,use,Linguistics
modeling,relate,Chemistry
acquisition,influence,particles
modeling,provide,Economics
researchers,explore,markets
Physics,describe,communication
calculus,provide,Science
inference,provide,Mathematics
analysis,influence,grammar
balance,understand,Linguistics
trade,use,Chemistry
growth,relate,Economics
Linguistics,describe,reactions
conservation,understand,communication
behavior,influence,grammar
reactions,use,Chemistry
thermodynamics,understand,Science
particles,use,Psychology
motion,use,Science
networks,relate,Mathematics
behavior,relate,Chemistry
thermodynamics,provide,Sociology
markets,use,Mathematics
optimization,occur,Mathematics
equilibrium,influence,grammar
equilibrium,relate,Linguistics
researchers,explore,patterns
structure,understand,Biology
equilibrium,provide,Psychology
trade,occur,Chemistry
biology,understand,Science
making,use,Chemistry
thermodynamics,relate,Science
thermodynamics,influence,markets
Economics,describe,computation
mechanics,relate,Science
bonding,influence,pollution
researchers,explore,optimization
structure,understand,Psychology
researchers,explore,sequences
mutation,understand,markets
intelligence,provide,Mathematics
entropy,occur,Science
Science,describe,society
markets,occur,Linguistics
society,occur,Mathematics
particles,use,Science
structure,understand,Mathematics
Psychology,describe,optimization
Psychology,describe,evolution
Science,describe,pollution
Physics,describe,sequences
selection,understand,entropy
sequences,occur,Chemistry
Mathematics,describe,communication
cells,occur,Psychology
growth,provide,Science
inference,influence,patterns
patterns,use,Mathematics
acquisition,relate,Psychology
researchers,explore,pollution
researchers,explore,markets
making,use,Chemistry
mutation,understand,Sociology
researchers,explore,patterns
analysis,provide,Biology
researchers,explore,pollution
thermodynamics,understand,Psychology
intelligence,relate,Chemistry
selection,relate,Mathematics
researchers,explore,markets
researchers,explore,computation
Economics,describe,computation
equilibrium,relate,Science
intelligence,relate,Linguistics
Economics,describe,patterns
Psychology,describe,cells
researchers,explore,communication
mechanics,understand,Economics
learning,use,Biology
researchers,explore,evolution
Chemistry,describe,making
bonding,relate,Biology
inference,understand,Science
researchers,explore,grammar
balance,influence,communication
balance,influence,patterns
cells,use,Sociology
researchers,explore,particles
particles,occur,Economics
researchers,explore,evolution
researchers,explore,grammar
inference,influence,making
calculus,provide,Linguistics
acquisition,understand,Psychology
acquisition,understand,cells
researchers,explore,patterns
researchers,explore,reactions
