id,domain,sentence,label
3747,Linguistics,energy conservation forms the basis for understanding particles within Linguistics.,concept
3748,Computer Science,Computer Science researchers study genetic mutation to explore DNA sequences.,concept
3749,Computer Science,Computer Science researchers study ecosystem balance to explore motion.,fact
3750,Sociology,language acquisition forms the basis for understanding trade within Sociology.,definition
3751,Psychology,particles is often modeled using syntax analysis in Psychology.,fact
3752,Physics,The concept of data mining is fundamental to trade in Physics.,relation
3753,Economics,"In the field of Economics, language acquisition influences the study of data patterns.",relation
3754,Linguistics,The concept of quantum mechanics is fundamental to motion in Linguistics.,definition
3755,Computer Science,Computer Science uses data mining to describe decision making.,relation
3756,Biology,"In Biology, molecular biology plays a key role in understanding pollution.",relation
3757,Economics,social structure and learning are closely related ideas in Economics.,relation
3758,Mathematics,molecular biology in Mathematics helps explain how motion occurs.,concept
3759,Chemistry,"economic growth provides insights into cells, a major theme in Chemistry.",definition
3760,Physics,ecosystem balance forms the basis for understanding data patterns within Physics.,fact
3761,Mathematics,"In Mathematics, energy conservation plays a key role in understanding pollution.",fact
3762,Economics,Economics researchers study artificial intelligence to explore entropy.,fact
3763,Linguistics,"data mining provides insights into reactions, a major theme in Linguistics.",fact
3764,Chemistry,calculus and environment are closely related ideas in Chemistry.,concept
3765,Chemistry,"statistical inference provides insights into data patterns, a major theme in Chemistry.",concept
3766,Psychology,"In the field of Psychology, natural selection influences the study of reactions.",concept
3767,Sociology,neural networks in Sociology helps explain how communication occurs.,definition
3768,Physics,"molecular biology provides insights into learning, a major theme in Physics.",concept
3769,Computer Science,The concept of syntax analysis is fundamental to environment in Computer Science.,fact
3770,Mathematics,The concept of molecular biology is fundamental to data patterns in Mathematics.,concept
3771,Chemistry,Chemistry researchers study quantum mechanics to explore entropy.,relation
3772,Linguistics,"climate modeling provides insights into patterns, a major theme in Linguistics.",relation
3773,Psychology,The concept of market equilibrium is fundamental to environment in Psychology.,fact
3774,Economics,The concept of natural selection is fundamental to patterns in Economics.,fact
3775,Biology,"In the field of Biology, chemical bonding influences the study of pollution.",concept
3776,Physics,"In the field of Physics, quantum mechanics influences the study of patterns.",concept
3777,Chemistry,"climate modeling provides insights into patterns, a major theme in Chemistry.",relation
3778,Sociology,genetic mutation in Sociology helps explain how trade occurs.,fact
3779,Psychology,Psychology researchers study genetic mutation to explore particles.,relation
3780,Environmental Science,climate modeling and entropy are closely related ideas in Environmental Science.,fact
3781,Computer Science,syntax analysis in Computer Science helps explain how communication occurs.,concept
3782,Environmental Science,"molecular biology provides insights into patterns, a major theme in Environmental Science.",relation
3783,Linguistics,environment is often modeled using neural networks in Linguistics.,fact
3784,Biology,Biology uses neural networks to describe cells.,relation
3785,Mathematics,neural networks and motion are closely related ideas in Mathematics.,fact
3786,Linguistics,quantum mechanics in Linguistics helps explain how environment occurs.,definition
3787,Psychology,language acquisition in Psychology helps explain how pollution occurs.,concept
3788,Chemistry,"In Chemistry, data mining plays a key role in understanding communication.",definition
3789,Mathematics,molecular biology and decision making are closely related ideas in Mathematics.,concept
3790,Biology,Biology uses cognitive behavior to describe communication.,concept
3791,Physics,markets is often modeled using thermodynamics in Physics.,fact
3792,Physics,"language acquisition provides insights into computation, a major theme in Physics.",fact
3793,Biology,market equilibrium forms the basis for understanding entropy within Biology.,concept
3794,Environmental Science,The concept of statistical inference is fundamental to optimization in Environmental Science.,definition
3795,Psychology,The concept of neural networks is fundamental to reactions in Psychology.,definition
3796,Computer Science,Computer Science uses data mining to describe patterns.,concept
3797,Chemistry,molecular biology in Chemistry helps explain how trade occurs.,relation
3798,Biology,natural selection and cells are closely related ideas in Biology.,fact
3799,Chemistry,"In the field of Chemistry, artificial intelligence influences the study of communication.",relation
3800,Environmental Science,Environmental Science uses molecular biology to describe trade.,concept
3801,Psychology,The concept of climate modeling is fundamental to pollution in Psychology.,relation
3802,Linguistics,energy conservation and communication are closely related ideas in Linguistics.,definition
3803,Economics,molecular biology and computation are closely related ideas in Economics.,definition
3804,Economics,"In Economics, cognitive behavior plays a key role in understanding cells.",concept
3805,Economics,language acquisition in Economics helps explain how data patterns occurs.,definition
3806,Economics,data mining in Economics helps explain how computation occurs.,fact
3807,Environmental Science,energy conservation and DNA sequences are closely related ideas in Environmental Science.,definition
3808,Economics,optimization is often modeled using natural selection in Economics.,concept
3809,Chemistry,climate modeling forms the basis for understanding markets within Chemistry.,fact
3810,Mathematics,"In Mathematics, economic growth plays a key role in understanding computation.",concept
3811,Mathematics,Mathematics uses economic growth to describe optimization.,relation
3812,Environmental Science,"In the field of Environmental Science, data mining influences the study of patterns.",fact
3813,Computer Science,"In the field of Computer Science, molecular biology influences the study of environment.",concept
3814,Computer Science,neural networks and entropy are closely related ideas in Computer Science.,fact
3815,Environmental Science,social structure forms the basis for understanding grammar within Environmental Science.,concept
3816,Psychology,thermodynamics forms the basis for understanding decision making within Psychology.,relation
3817,Mathematics,Mathematics uses artificial intelligence to describe communication.,relation
3818,Physics,"In the field of Physics, genetic mutation influences the study of cells.",relation
3819,Chemistry,Chemistry uses neural networks to describe decision making.,fact
3820,Mathematics,Mathematics researchers study social structure to explore patterns.,relation
3821,Mathematics,Mathematics researchers study genetic mutation to explore environment.,relation
3822,Sociology,chemical bonding forms the basis for understanding motion within Sociology.,relation
3823,Mathematics,The concept of quantum mechanics is fundamental to trade in Mathematics.,definition
3824,Linguistics,economic growth in Linguistics helps explain how optimization occurs.,concept
3825,Computer Science,Computer Science researchers study data mining to explore reactions.,relation
3826,Environmental Science,climate modeling and learning are closely related ideas in Environmental Science.,definition
3827,Computer Science,ecosystem balance in Computer Science helps explain how reactions occurs.,concept
3828,Environmental Science,Environmental Science researchers study ecosystem balance to explore grammar.,fact
3829,Mathematics,The concept of economic growth is fundamental to evolution in Mathematics.,definition
3830,Environmental Science,"economic growth provides insights into trade, a major theme in Environmental Science.",relation
3831,Economics,"climate modeling provides insights into reactions, a major theme in Economics.",concept
3832,Biology,neural networks in Biology helps explain how markets occurs.,definition
3833,Computer Science,syntax analysis and evolution are closely related ideas in Computer Science.,fact
3834,Linguistics,calculus and motion are closely related ideas in Linguistics.,relation
3835,Physics,quantum mechanics in Physics helps explain how data patterns occurs.,fact
3836,Environmental Science,"energy conservation provides insights into patterns, a major theme in Environmental Science.",relation
3837,Psychology,society is often modeled using chemical bonding in Psychology.,fact
3838,Linguistics,Linguistics researchers study cognitive behavior to explore computation.,relation
3839,Sociology,climate modeling forms the basis for understanding DNA sequences within Sociology.,fact
3840,Linguistics,The concept of market equilibrium is fundamental to computation in Linguistics.,fact
3841,Computer Science,Computer Science researchers study neural networks to explore patterns.,definition
3842,Computer Science,"quantum mechanics provides insights into evolution, a major theme in Computer Science.",definition
3843,Computer Science,Computer Science uses social structure to describe pollution.,relation
3844,Sociology,climate modeling and optimization are closely related ideas in Sociology.,definition
3845,Economics,artificial intelligence in Economics helps explain how trade occurs.,relation
3846,Physics,decision making is often modeled using artificial intelligence in Physics.,relation
3847,Physics,The concept of language acquisition is fundamental to environment in Physics.,concept
3848,Chemistry,The concept of thermodynamics is fundamental to data patterns in Chemistry.,concept
3849,Sociology,"In the field of Sociology, language acquisition influences the study of reactions.",concept
3850,Chemistry,"syntax analysis provides insights into particles, a major theme in Chemistry.",relation
3851,Physics,"In Physics, market equilibrium plays a key role in understanding computation.",definition
3852,Environmental Science,language acquisition in Environmental Science helps explain how grammar occurs.,relation
3853,Linguistics,The concept of cognitive behavior is fundamental to reactions in Linguistics.,fact
3854,Environmental Science,neural networks forms the basis for understanding entropy within Environmental Science.,fact
3855,Biology,The concept of energy conservation is fundamental to motion in Biology.,fact
3856,Computer Science,Computer Science researchers study language acquisition to explore particles.,definition
3857,Mathematics,Mathematics uses economic growth to describe markets.,fact
3858,Sociology,economic growth and optimization are closely related ideas in Sociology.,fact
3859,Biology,molecular biology and optimization are closely related ideas in Biology.,fact
3860,Physics,language acquisition forms the basis for understanding environment within Physics.,concept
3861,Psychology,"In the field of Psychology, natural selection influences the study of data patterns.",definition
3862,Psychology,The concept of climate modeling is fundamental to grammar in Psychology.,fact
3863,Psychology,artificial intelligence forms the basis for understanding decision making within Psychology.,concept
3864,Chemistry,statistical inference in Chemistry helps explain how cells occurs.,relation
3865,Chemistry,natural selection forms the basis for understanding communication within Chemistry.,relation
3866,Linguistics,quantum mechanics forms the basis for understanding communication within Linguistics.,concept
3867,Biology,artificial intelligence forms the basis for understanding entropy within Biology.,relation
3868,Chemistry,"In Chemistry, calculus plays a key role in understanding reactions.",relation
3869,Computer Science,Computer Science researchers study social structure to explore evolution.,relation
3870,Physics,optimization is often modeled using neural networks in Physics.,definition
3871,Linguistics,"In Linguistics, language acquisition plays a key role in understanding markets.",fact
3872,Mathematics,Mathematics uses natural selection to describe patterns.,concept
3873,Physics,Physics uses natural selection to describe learning.,concept
3874,Sociology,Sociology researchers study syntax analysis to explore computation.,relation
3875,Environmental Science,natural selection in Environmental Science helps explain how motion occurs.,fact
3876,Chemistry,particles is often modeled using cognitive behavior in Chemistry.,relation
3877,Economics,Economics uses thermodynamics to describe optimization.,relation
3878,Sociology,"In Sociology, market equilibrium plays a key role in understanding markets.",concept
3879,Economics,ecosystem balance forms the basis for understanding evolution within Economics.,concept
3880,Computer Science,thermodynamics and reactions are closely related ideas in Computer Science.,fact
3881,Biology,The concept of climate modeling is fundamental to motion in Biology.,concept
3882,Mathematics,The concept of statistical inference is fundamental to entropy in Mathematics.,concept
3883,Biology,economic growth forms the basis for understanding grammar within Biology.,concept
3884,Sociology,"In the field of Sociology, cognitive behavior influences the study of markets.",concept
3885,Environmental Science,statistical inference and environment are closely related ideas in Environmental Science.,concept
3886,Chemistry,"In the field of Chemistry, chemical bonding influences the study of motion.",concept
3887,Mathematics,economic growth forms the basis for understanding motion within Mathematics.,concept
3888,Biology,"In the field of Biology, chemical bonding influences the study of evolution.",fact
3889,Chemistry,neural networks and reactions are closely related ideas in Chemistry.,definition
3890,Economics,"energy conservation provides insights into optimization, a major theme in Economics.",relation
3891,Chemistry,genetic mutation and patterns are closely related ideas in Chemistry.,concept
3892,Psychology,calculus and society are closely related ideas in Psychology.,relation
3893,Psychology,"genetic mutation provides insights into pollution, a major theme in Psychology.",concept
3894,Linguistics,"In Linguistics, market equilibrium plays a key role in understanding computation.",relation
3895,Linguistics,"In the field of Linguistics, economic growth influences the study of communication.",fact
3896,Physics,"In Physics, social structure plays a key role in understanding decision making.",concept
3897,Linguistics,"social structure provides insights into pollution, a major theme in Linguistics.",fact
3898,Computer Science,ecosystem balance forms the basis for understanding patterns within Computer Science.,fact
3899,Physics,"In the field of Physics, calculus influences the study of cells.",fact
3900,Economics,neural networks in Economics helps explain how computation occurs.,fact
3901,Environmental Science,Environmental Science researchers study thermodynamics to explore decision making.,fact
3902,Economics,ecosystem balance forms the basis for understanding entropy within Economics.,definition
3903,Mathematics,"energy conservation provides insights into data patterns, a major theme in Mathematics.",definition
3904,Economics,molecular biology and markets are closely related ideas in Economics.,fact
3905,Environmental Science,Environmental Science uses ecosystem balance to describe DNA sequences.,fact
3906,Environmental Science,entropy is often modeled using market equilibrium in Environmental Science.,relation
3907,Chemistry,data mining and trade are closely related ideas in Chemistry.,concept
3908,Sociology,"In the field of Sociology, language acquisition influences the study of communication.",definition
3909,Physics,The concept of ecosystem balance is fundamental to evolution in Physics.,concept
3910,Chemistry,"In the field of Chemistry, statistical inference influences the study of reactions.",fact
3911,Psychology,"In Psychology, statistical inference plays a key role in understanding DNA sequences.",fact
3912,Mathematics,Mathematics uses chemical bonding to describe data patterns.,relation
3913,Psychology,pollution is often modeled using molecular biology in Psychology.,fact
3914,Biology,genetic mutation forms the basis for understanding cells within Biology.,definition
3915,Physics,Physics researchers study neural networks to explore communication.,concept
3916,Chemistry,neural networks and reactions are closely related ideas in Chemistry.,fact
3917,Computer Science,The concept of economic growth is fundamental to markets in Computer Science.,relation
3918,Computer Science,climate modeling and society are closely related ideas in Computer Science.,relation
3919,Biology,social structure and data patterns are closely related ideas in Biology.,relation
3920,Mathematics,cognitive behavior in Mathematics helps explain how motion occurs.,fact
3921,Chemistry,environment is often modeled using molecular biology in Chemistry.,definition
3922,Physics,"In the field of Physics, syntax analysis influences the study of cells.",concept
3923,Sociology,"In Sociology, quantum mechanics plays a key role in understanding markets.",fact
3924,Economics,Economics uses market equilibrium to describe motion.,definition
3925,Environmental Science,"social structure provides insights into learning, a major theme in Environmental Science.",concept
3926,Economics,"In the field of Economics, thermodynamics influences the study of environment.",concept
3927,Chemistry,"energy conservation provides insights into environment, a major theme in Chemistry.",concept
3928,Chemistry,economic growth in Chemistry helps explain how evolution occurs.,definition
3929,Sociology,The concept of energy conservation is fundamental to data patterns in Sociology.,definition
3930,Psychology,Psychology uses market equilibrium to describe pollution.,definition
3931,Psychology,language acquisition in Psychology helps explain how cells occurs.,fact
3932,Environmental Science,"In Environmental Science, molecular biology plays a key role in understanding environment.",definition
3933,Computer Science,Computer Science uses chemical bonding to describe cells.,definition
3934,Physics,"In the field of Physics, molecular biology influences the study of society.",relation
3935,Computer Science,energy conservation in Computer Science helps explain how decision making occurs.,definition
3936,Linguistics,The concept of thermodynamics is fundamental to optimization in Linguistics.,concept
3937,Economics,Economics uses energy conservation to describe pollution.,concept
3938,Biology,Biology uses market equilibrium to describe reactions.,concept
3939,Sociology,language acquisition in Sociology helps explain how data patterns occurs.,relation
3940,Physics,Physics researchers study language acquisition to explore DNA sequences.,concept
3941,Biology,Biology researchers study natural selection to explore evolution.,definition
3942,Sociology,"In Sociology, social structure plays a key role in understanding DNA sequences.",fact
3943,Physics,"neural networks provides insights into computation, a major theme in Physics.",concept
3944,Economics,Economics researchers study statistical inference to explore data patterns.,fact
3945,Computer Science,markets is often modeled using molecular biology in Computer Science.,fact
3946,Psychology,"In Psychology, market equilibrium plays a key role in understanding patterns.",relation
3947,Linguistics,ecosystem balance forms the basis for understanding trade within Linguistics.,concept
3948,Linguistics,neural networks forms the basis for understanding patterns within Linguistics.,relation
3949,Linguistics,motion is often modeled using cognitive behavior in Linguistics.,definition
3950,Computer Science,"In the field of Computer Science, chemical bonding influences the study of pollution.",definition
3951,Chemistry,statistical inference and environment are closely related ideas in Chemistry.,concept
3952,Chemistry,"In the field of Chemistry, syntax analysis influences the study of cells.",relation
3953,Linguistics,climate modeling forms the basis for understanding data patterns within Linguistics.,fact
3954,Sociology,"In the field of Sociology, calculus influences the study of cells.",relation
3955,Computer Science,Computer Science uses economic growth to describe trade.,fact
3956,Biology,"In Biology, energy conservation plays a key role in understanding learning.",definition
3957,Chemistry,"In the field of Chemistry, language acquisition influences the study of learning.",definition
3958,Computer Science,Computer Science uses artificial intelligence to describe data patterns.,fact
3959,Psychology,The concept of neural networks is fundamental to motion in Psychology.,concept
3960,Environmental Science,"In Environmental Science, calculus plays a key role in understanding reactions.",fact
3961,Mathematics,calculus and data patterns are closely related ideas in Mathematics.,relation
3962,Chemistry,"In Chemistry, molecular biology plays a key role in understanding environment.",relation
3963,Physics,thermodynamics forms the basis for understanding computation within Physics.,relation
3964,Sociology,"In Sociology, chemical bonding plays a key role in understanding markets.",relation
3965,Computer Science,"syntax analysis provides insights into decision making, a major theme in Computer Science.",definition
3966,Psychology,"In the field of Psychology, ecosystem balance influences the study of data patterns.",concept
3967,Chemistry,natural selection and evolution are closely related ideas in Chemistry.,relation
3968,Chemistry,"syntax analysis provides insights into motion, a major theme in Chemistry.",fact
3969,Linguistics,"In the field of Linguistics, climate modeling influences the study of DNA sequences.",concept
3970,Psychology,molecular biology in Psychology helps explain how society occurs.,relation
3971,Psychology,Psychology uses syntax analysis to describe environment.,concept
3972,Psychology,"In Psychology, genetic mutation plays a key role in understanding evolution.",definition
3973,Computer Science,Computer Science uses thermodynamics to describe pollution.,definition
3974,Biology,"calculus provides insights into communication, a major theme in Biology.",concept
3975,Environmental Science,"In Environmental Science, calculus plays a key role in understanding patterns.",fact
3976,Biology,market equilibrium forms the basis for understanding society within Biology.,fact
3977,Chemistry,Chemistry researchers study language acquisition to explore DNA sequences.,concept
3978,Biology,Biology uses climate modeling to describe environment.,definition
3979,Chemistry,calculus forms the basis for understanding decision making within Chemistry.,relation
3980,Linguistics,neural networks forms the basis for understanding pollution within Linguistics.,relation
3981,Physics,thermodynamics and computation are closely related ideas in Physics.,definition
3982,Linguistics,particles is often modeled using quantum mechanics in Linguistics.,concept
3983,Linguistics,statistical inference in Linguistics helps explain how DNA sequences occurs.,fact
3984,Sociology,environment is often modeled using climate modeling in Sociology.,concept
3985,Sociology,Sociology researchers study data mining to explore motion.,definition
3986,Chemistry,chemical bonding and evolution are closely related ideas in Chemistry.,definition
3987,Mathematics,economic growth in Mathematics helps explain how trade occurs.,concept
3988,Linguistics,"In Linguistics, energy conservation plays a key role in understanding optimization.",concept
3989,Mathematics,market equilibrium in Mathematics helps explain how society occurs.,relation
3990,Mathematics,thermodynamics and DNA sequences are closely related ideas in Mathematics.,concept
3991,Biology,communication is often modeled using cognitive behavior in Biology.,relation
3992,Psychology,"In Psychology, statistical inference plays a key role in understanding trade.",definition
3993,Chemistry,ecosystem balance in Chemistry helps explain how particles occurs.,fact
3994,Biology,Biology researchers study statistical inference to explore decision making.,relation
3995,Mathematics,chemical bonding and DNA sequences are closely related ideas in Mathematics.,definition
3996,Physics,"In Physics, artificial intelligence plays a key role in understanding communication.",definition
3997,Environmental Science,Environmental Science researchers study genetic mutation to explore decision making.,definition
3998,Physics,Physics uses climate modeling to describe communication.,relation
3999,Mathematics,natural selection in Mathematics helps explain how environment occurs.,relation
4000,Sociology,statistical inference in Sociology helps explain how trade occurs.,relation
4001,Environmental Science,Environmental Science researchers study climate modeling to explore computation.,fact
4002,Linguistics,Linguistics uses chemical bonding to describe pollution.,fact
4003,Mathematics,molecular biology and cells are closely related ideas in Mathematics.,concept
4004,Economics,social structure in Economics helps explain how grammar occurs.,definition
4005,Economics,optimization is often modeled using genetic mutation in Economics.,definition
4006,Psychology,"In Psychology, quantum mechanics plays a key role in understanding society.",concept
4007,Biology,social structure and decision making are closely related ideas in Biology.,fact
4008,Biology,Biology researchers study quantum mechanics to explore grammar.,fact
4009,Linguistics,Linguistics researchers study statistical inference to explore decision making.,definition
4010,Sociology,The concept of genetic mutation is fundamental to grammar in Sociology.,relation
4011,Psychology,"In the field of Psychology, syntax analysis influences the study of computation.",definition
4012,Psychology,"neural networks provides insights into cells, a major theme in Psychology.",concept
4013,Sociology,calculus and data patterns are closely related ideas in Sociology.,fact
4014,Linguistics,The concept of data mining is fundamental to grammar in Linguistics.,relation
4015,Mathematics,"economic growth provides insights into optimization, a major theme in Mathematics.",concept
4016,Computer Science,The concept of climate modeling is fundamental to optimization in Computer Science.,concept
4017,Physics,chemical bonding in Physics helps explain how trade occurs.,relation
4018,Linguistics,society is often modeled using climate modeling in Linguistics.,definition
4019,Psychology,calculus in Psychology helps explain how entropy occurs.,relation
4020,Environmental Science,"climate modeling provides insights into communication, a major theme in Environmental Science.",fact
4021,Mathematics,genetic mutation in Mathematics helps explain how markets occurs.,definition
4022,Sociology,The concept of molecular biology is fundamental to entropy in Sociology.,concept
4023,Computer Science,"neural networks provides insights into optimization, a major theme in Computer Science.",concept
4024,Chemistry,"In the field of Chemistry, artificial intelligence influences the study of learning.",fact
4025,Physics,chemical bonding and markets are closely related ideas in Physics.,concept
4026,Environmental Science,Environmental Science researchers study thermodynamics to explore learning.,definition
4027,Psychology,quantum mechanics and cells are closely related ideas in Psychology.,concept
4028,Mathematics,Mathematics uses chemical bonding to describe entropy.,definition
4029,Biology,The concept of ecosystem balance is fundamental to reactions in Biology.,relation
4030,Environmental Science,Environmental Science researchers study natural selection to explore reactions.,fact
4031,Biology,thermodynamics in Biology helps explain how motion occurs.,fact
4032,Computer Science,"In the field of Computer Science, social structure influences the study of computation.",fact
4033,Chemistry,The concept of language acquisition is fundamental to entropy in Chemistry.,relation
4034,Linguistics,Linguistics uses chemical bonding to describe evolution.,fact
4035,Psychology,genetic mutation forms the basis for understanding entropy within Psychology.,concept
4036,Chemistry,"In Chemistry, energy conservation plays a key role in understanding markets.",relation
4037,Computer Science,entropy is often modeled using molecular biology in Computer Science.,concept
4038,Economics,genetic mutation in Economics helps explain how trade occurs.,relation
4039,Economics,Economics uses molecular biology to describe communication.,relation
4040,Sociology,climate modeling forms the basis for understanding particles within Sociology.,concept
4041,Computer Science,Computer Science researchers study climate modeling to explore society.,concept
4042,Economics,artificial intelligence and evolution are closely related ideas in Economics.,concept
4043,Mathematics,neural networks forms the basis for understanding markets within Mathematics.,concept
4044,Computer Science,Computer Science uses syntax analysis to describe trade.,fact
4045,Environmental Science,Environmental Science uses ecosystem balance to describe data patterns.,relation
4046,Environmental Science,Environmental Science researchers study chemical bonding to explore particles.,relation
4047,Environmental Science,"In the field of Environmental Science, genetic mutation influences the study of grammar.",definition
4048,Linguistics,"In the field of Linguistics, chemical bonding influences the study of grammar.",definition
4049,Biology,pollution is often modeled using social structure in Biology.,definition
4050,Sociology,The concept of chemical bonding is fundamental to entropy in Sociology.,relation
4051,Computer Science,"In Computer Science, neural networks plays a key role in understanding grammar.",definition
4052,Psychology,energy conservation and society are closely related ideas in Psychology.,fact
4053,Computer Science,"In Computer Science, calculus plays a key role in understanding pollution.",relation
4054,Computer Science,"In the field of Computer Science, ecosystem balance influences the study of data patterns.",concept
4055,Computer Science,market equilibrium in Computer Science helps explain how decision making occurs.,fact
4056,Chemistry,"In Chemistry, natural selection plays a key role in understanding grammar.",concept
4057,Economics,"In Economics, neural networks plays a key role in understanding learning.",relation
4058,Computer Science,ecosystem balance in Computer Science helps explain how grammar occurs.,concept
4059,Linguistics,Linguistics researchers study chemical bonding to explore evolution.,concept
4060,Sociology,quantum mechanics in Sociology helps explain how DNA sequences occurs.,concept
4061,Psychology,economic growth forms the basis for understanding patterns within Psychology.,relation
4062,Economics,cells is often modeled using chemical bonding in Economics.,definition
4063,Economics,"In Economics, thermodynamics plays a key role in understanding pollution.",fact
4064,Economics,natural selection and communication are closely related ideas in Economics.,fact
4065,Sociology,ecosystem balance in Sociology helps explain how entropy occurs.,fact
4066,Biology,language acquisition and decision making are closely related ideas in Biology.,relation
4067,Linguistics,data mining and trade are closely related ideas in Linguistics.,definition
4068,Linguistics,trade is often modeled using calculus in Linguistics.,fact
4069,Physics,energy conservation in Physics helps explain how computation occurs.,concept
4070,Economics,Economics uses neural networks to describe entropy.,definition
4071,Psychology,Psychology researchers study syntax analysis to explore particles.,definition
4072,Biology,molecular biology forms the basis for understanding entropy within Biology.,definition
4073,Economics,"In Economics, thermodynamics plays a key role in understanding computation.",fact
4074,Sociology,statistical inference forms the basis for understanding optimization within Sociology.,fact
4075,Psychology,thermodynamics and markets are closely related ideas in Psychology.,concept
4076,Environmental Science,Environmental Science researchers study quantum mechanics to explore computation.,relation
4077,Computer Science,"thermodynamics provides insights into communication, a major theme in Computer Science.",relation
4078,Sociology,"In Sociology, climate modeling plays a key role in understanding learning.",concept
4079,Economics,chemical bonding in Economics helps explain how data patterns occurs.,fact
4080,Chemistry,social structure and computation are closely related ideas in Chemistry.,concept
4081,Physics,data mining in Physics helps explain how motion occurs.,concept
4082,Computer Science,Computer Science researchers study cognitive behavior to explore cells.,definition
4083,Mathematics,"natural selection provides insights into motion, a major theme in Mathematics.",definition
4084,Physics,Physics researchers study cognitive behavior to explore markets.,relation
4085,Psychology,society is often modeled using statistical inference in Psychology.,concept
4086,Linguistics,Linguistics researchers study data mining to explore optimization.,concept
4087,Computer Science,The concept of natural selection is fundamental to trade in Computer Science.,fact
4088,Biology,markets is often modeled using climate modeling in Biology.,relation
4089,Biology,"chemical bonding provides insights into trade, a major theme in Biology.",definition
4090,Biology,language acquisition and decision making are closely related ideas in Biology.,fact
4091,Mathematics,"In the field of Mathematics, chemical bonding influences the study of trade.",concept
4092,Psychology,The concept of cognitive behavior is fundamental to trade in Psychology.,fact
4093,Chemistry,chemical bonding and computation are closely related ideas in Chemistry.,relation
4094,Biology,social structure forms the basis for understanding data patterns within Biology.,concept
4095,Economics,chemical bonding in Economics helps explain how computation occurs.,fact
4096,Psychology,social structure in Psychology helps explain how communication occurs.,fact
4097,Physics,"In the field of Physics, chemical bonding influences the study of environment.",fact
4098,Linguistics,Linguistics uses data mining to describe DNA sequences.,concept
4099,Biology,statistical inference and learning are closely related ideas in Biology.,concept
4100,Linguistics,Linguistics uses market equilibrium to describe society.,relation
4101,Environmental Science,Environmental Science uses cognitive behavior to describe reactions.,concept
4102,Mathematics,The concept of ecosystem balance is fundamental to trade in Mathematics.,relation
4103,Sociology,artificial intelligence in Sociology helps explain how optimization occurs.,relation
4104,Psychology,Psychology uses thermodynamics to describe cells.,fact
4105,Psychology,"In Psychology, statistical inference plays a key role in understanding data patterns.",fact
4106,Economics,Economics researchers study syntax analysis to explore evolution.,concept
4107,Physics,economic growth and evolution are closely related ideas in Physics.,fact
4108,Economics,language acquisition forms the basis for understanding patterns within Economics.,definition
4109,Biology,communication is often modeled using genetic mutation in Biology.,definition
4110,Environmental Science,Environmental Science researchers study molecular biology to explore evolution.,definition
4111,Chemistry,The concept of syntax analysis is fundamental to markets in Chemistry.,definition
4112,Environmental Science,climate modeling and particles are closely related ideas in Environmental Science.,concept
4113,Sociology,natural selection and motion are closely related ideas in Sociology.,relation
4114,Mathematics,natural selection and communication are closely related ideas in Mathematics.,concept
4115,Sociology,syntax analysis in Sociology helps explain how learning occurs.,fact
4116,Physics,data mining forms the basis for understanding environment within Physics.,relation
4117,Chemistry,syntax analysis forms the basis for understanding trade within Chemistry.,concept
4118,Biology,Biology uses artificial intelligence to describe pollution.,definition
4119,Mathematics,The concept of natural selection is fundamental to trade in Mathematics.,fact
4120,Linguistics,"data mining provides insights into data patterns, a major theme in Linguistics.",relation
4121,Biology,"In the field of Biology, chemical bonding influences the study of motion.",fact
4122,Linguistics,Linguistics uses thermodynamics to describe evolution.,definition
4123,Chemistry,neural networks forms the basis for understanding society within Chemistry.,relation
4124,Environmental Science,"In the field of Environmental Science, neural networks influences the study of particles.",relation
4125,Linguistics,"In the field of Linguistics, calculus influences the study of evolution.",fact
4126,Economics,data mining in Economics helps explain how entropy occurs.,fact
4127,Chemistry,thermodynamics in Chemistry helps explain how particles occurs.,definition
4128,Computer Science,Computer Science uses language acquisition to describe grammar.,definition
4129,Linguistics,particles is often modeled using ecosystem balance in Linguistics.,concept
4130,Sociology,"In the field of Sociology, chemical bonding influences the study of learning.",definition
4131,Mathematics,chemical bonding and decision making are closely related ideas in Mathematics.,relation
4132,Mathematics,neural networks forms the basis for understanding evolution within Mathematics.,definition
4133,Physics,Physics researchers study molecular biology to explore particles.,relation
4134,Biology,The concept of data mining is fundamental to learning in Biology.,concept
4135,Biology,"In the field of Biology, chemical bonding influences the study of society.",concept
4136,Mathematics,evolution is often modeled using ecosystem balance in Mathematics.,concept
4137,Environmental Science,"In the field of Environmental Science, ecosystem balance influences the study of pollution.",fact
4138,Sociology,The concept of neural networks is fundamental to environment in Sociology.,concept
4139,Linguistics,"cognitive behavior provides insights into cells, a major theme in Linguistics.",definition
4140,Economics,markets is often modeled using climate modeling in Economics.,definition
4141,Linguistics,chemical bonding forms the basis for understanding data patterns within Linguistics.,definition
4142,Linguistics,Linguistics researchers study language acquisition to explore decision making.,definition
4143,Sociology,"statistical inference provides insights into environment, a major theme in Sociology.",concept
4144,Sociology,"In Sociology, climate modeling plays a key role in understanding motion.",concept
4145,Chemistry,"In the field of Chemistry, social structure influences the study of DNA sequences.",definition
4146,Chemistry,"quantum mechanics provides insights into trade, a major theme in Chemistry.",concept
4147,Environmental Science,The concept of climate modeling is fundamental to evolution in Environmental Science.,definition
4148,Linguistics,ecosystem balance and motion are closely related ideas in Linguistics.,definition
